title;composition;calorie;protein;fat;carbohydrate;categoty;barcode
Котлеты из судака жареные с молодым картофелем Шеф Перекрёсток, 320г;Котлета из судака в сливочном соусе: молоко, филе судака, лук репчатый, филе трески, сливки, масло сливочное, яйцо куриное маринованное, майонез [содержит яйцо], батон [содержит глютен], сухари панировочные [содержат глютен], крахмал кукурузный, меланж яичный, мука пшеничная, масло подсолнечное, пшеничная клетчатка, соль, бульон рыбный [содержит рыбу, сою], бульон куриный, концентрат лимона, зелень укропа, специи.;153;6.6;7.8;14.1;Готовая еда;Неизвестно
Суп-пюре из батата с лососем Шеф Перекрёсток, 300г;Вода, сливки, лосось слабосоленый (филе лосося атлантического (сёмги), соль), батат, лук репчатый, картофель, стебель сельдерея, масло подсолнечное, соль, перец душистый.;96.7;6.3;7;5.7;Готовая еда;Неизвестно
Салат с авокадо, перепелиным яйцом и соусом кунжутно-майонезным Шеф Перекрёсток, 205г;Огурцы,  крабовые палочки имитация (содержат рыбу, яйца), яйцо перепелиное отварное, соус кунжутно-майонезный (майонез (содержит яйца),  кокосовый напиток, сыр плавленый (содержит лактозу), соус терияки (содержит сою, глютен), соевый соус (содержит сою, глютен), масло кунжутное), томаты черри, авокадо бланшированное, салат айсберг, икра  «Масаго».;240;10;19;9;Готовая еда;Неизвестно
Паста Арабьята Шеф Перекрёсток, 250г;Изделия макаронные [содержат глютен], томаты измельченные, паста томатная, перец сладкий, масло подсолнечное, оливки, маслины, чеснок, лук репчатый, сахар, соль, бульон овощной, сельдерей, базилик свежий, специи.;161;4.2;6.1;22.1;Готовая еда;Неизвестно
Паста птитим с опятами в сливочном соусе Шеф Перекрёсток, 250г;Паста птитим отварная (содержит глютен), вода питьевая, опята, вешенки, сливки питьевые, молоко питьевое (содержит лактозу), лук репчатый, сыр твердый (содержит лактозу), масло подсолнечное, бульон грибной сухой, соль, тимьян, перец черный молотый.;140;4.3;6.5;16.1;Готовая еда;Неизвестно
Кускус с овощами Шеф Перекрёсток, 200г;Крупа кускус, перец сладкий, морковь, лук репчатый, сельдерей, масло подсолнечное, петрушка, соль, специи.;176;4.8;5.2;27.6;Готовая еда;Неизвестно
Паста Болоньезе с растительным фаршем Шеф Перекрёсток, 250г;Спагетти отварные (содержит глютен), соус Болоньезе (содержит сою), томатная паста, томаты в собственном соку, лук репчатый, томаты свежие, морковь, масло подсолнечное, соль, сахар, чеснок, перец чёрный молотый, крахмал кукурузный, базилик, орегано.;154;5.2;5.2;22;Готовая еда;Неизвестно
Пюре картофельное Шеф Перекрёсток, 450г;Картофель, молоко, сливки, масло сливочное, соль.;92;1.7;4.3;11.6;Готовая еда;Неизвестно
Фишкейки Шеф Перекрёсток с картофельным пюре и соусом тар-тар, 280г;Картофельное пюре - картофель, молоко питьевое, сливки питьевые, масло сливочное,фишкейки - филе судака обыкновенного, сыр полутвердый, фарш из трески атлантической, филе палтуса синекорого, сухари панировочные (мука пшеничная в/с, вода, дрожжи), меланж яичный, чеснок, соль, перец белый молотый,соус тар-тар - майонез (содержит горчицу, яйца), огурцы маринованные, горчица зернистая, горчица дижонская (содержит сульфиты), лук зеленый, петрушка, каперсы маринованные (содержит сульфиты), соус вустерский.;232;10;17.2;14;Готовая еда;Неизвестно
Боллы из индейки с яичной лапшой и кисло-сладким соусом Шеф Перекрёсток, 280г;Лапша яичная отварная (содержит глютен), боллы из индейки (филе бедра индейки, филе бедра куриное , хлеб белый (содержит глютен), лук репчатый пассированный, сливки питьевые, паприка, меланж яичный, клетчатка соевая, чеснок сухой, соль, перец черный), соус кисло-сладкий с овощами (соус кисло-сладкий (содержит сою), крахмал кукурузный, вода питьевая, сахар, перец чили, уксус рисовый), лук репчатый, морковь, перец сладкий, капуста белокочанная, масло подсолнечное).;196;7.9;10.4;17.5;Готовая еда;Неизвестно
Курица в соусе хойсин с рисом Шеф Перекрёсток, 250г;Рис отварной: вода питьевая, рис жасмин, масло подсолнечное, соль, курица в соусе хойсин - филе бедра куриного, соус хойсин (содержит сою, глютен), масло подсолнечное, соль, перец черный.;124;7.6;2;19.2;Готовая еда;Неизвестно
Фарфалле с лососем в сливочном соусе Зелёная Линия, 220г;Фарфале отварные (вода, макаронные изделия (мука из твёрдой пшеницы (дурум) в/с, вода), масло подсолнечное рафинированное дезодорированное, соль пищевая), соус Бешамель (молоко питьевое ультрапастеризованное м.д.ж 3,2% (молоко цельное, молоко обезжиренное), сливки питьевые ультрапастеризованные м.д.ж 22% (нормализованные сливки), рафинированное оливковое масло из выжимок с добавлением нерафинированного оливкового масла, масло сладко-сливочное несолёное м.д.ж 82,5% (пастеризованные сливки),  мука пшеничная х/п в/с, чеснок,  сыр твёрдый (молоко цельное, молоко обезжиренное, соль, молокосвёртывающий ферментный препарат животного происхождения, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат животного происхождения Лизоцим), лосось с/с ( лосось атлантический (сёмга) ( произведено из охлаждённого сырья), сахар, соль), сыр твёрдый (молоко цельное, молоко обезжиренное, соль, молокосвёртывающий ферментный препарат животного происхождения, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов, ферментный препарат животного происхождения Лизоцим), укроп.;180;6.2;8.4;19.8;Готовая еда;Неизвестно
Ангус бургер с горчичным соусом Мираторг, 160г;Котлета из говядины: говядина, бульон мясной жидкий концентрированный говяжий, жир-сырец говяжий, вода питьевая, масло подсолнечное рафинированное дезодорированное, лук, мука пшеничная, соль, перец черный молотый, черный альбумин говяжий. Соус горчичный: масло подсолнечное рафинированное, вода, продукты яичные, соль, семена горчицы, сахар, мед, горчичный порошок, лимонный сок сухой, паприка молотая, томаты, уксус, сливки питьевые стерилизованные, зелень петрушки сушеная. Овощи: томаты, огурцы маринованные. Булка: мука пшеничная, вода питьевая, сахар, масло подсолнечное рафинированное дезодорированное, дрожжи, соль. На предприятии используют продукты переработки: молока, яиц, горчицы, сои, сельдерея, злаков, сульфитов, кунжута, орехов, арахиса, рыбы, ракообразных и моллюсков. Может содержать семя льна.;307.8;5.5;22.6;20.7;Готовая еда;Неизвестно
Кебабы мясные с картофелем Шеф Перекрёсток, 250г;Картофель с розмарином - картофель мини, масло подсолнечное, чеснок сушеный, соль, розмарин сушеный, перец черный, кебабы – говядина, лук репчатый, сухари панировочные (содержат глютен), соль, чеснок сушеный, кориандр, перец черный,соус - томаты консервированные ,вода, томатная паста, приправа «аджика», масло оливковое, соль, сахар, кинза, петрушка, орегано сушеный, базилик сушеный, кориандр молотый,лаваш - мука пшеничная в/с, вода, соль.;220;5.6;16.4;10.4;Готовая еда;Неизвестно
Шницель по-министерски с рисом и овощами Шеф Перекрёсток, 300г;Рис с овощами: рис отварной (вода, рис длиннозерный, соль), брокколи, перец сладкий, кукуруза консервированная (кукуруза, вода, сахар, соль), масло подсолнечное, соль, шницель: филе куриное*, батон пшеничный (мука пшеничная, вода, сахар, масло подсолнечное, соль, дрожжи), меланж яичный, мука пшеничная, масло подсолнечное, соль, перец черный молотый.;305;15.6;7.3;44.2;Готовая еда;Неизвестно
Печень говяжья по-строгановски Шеф Перекрёсток, 300г;Пюре картофельное: картофель, сливки , соль, печень говяжья по-строгановски: говяжья печень мелкокусковая, соус (молоко, сметана, вода, огурцы маринованные , лук репчатый, мука пшеничная, масло сливочное, соль, горчица Дижонская, сахар, перец черный молотый, мускатный орех), масло подсолнечное, соль.;129;8.7;8.6;4.3;Готовая еда;Неизвестно
Паста Пепе Верде Шеф Перекрёсток, 250г;Соус «Пепе Верде» (содержит молоко, сою, глютен,  рыбу), изделия макаронные (содержат глютен), бедро куриное, сыр (содержит молоко), томаты сушеные, масло подсолнечное, соль.;189;9.6;7.8;20.2;Готовая еда;Неизвестно
Азу из говядины с картофельным пюре Шеф Перекрёсток, 300г;Пюре картофельное: картофель, сливки, соль, азу из говядины: говядина мелкокусковая*, вода, лук репчатый, огурцы маринованные (огурцы, вода, соль, чеснок, корень хрена, укроп, перец), томатная паста (томаты, соль), масло подсолнечное, соль, сахар, перец черный молотый.;136;11.1;4.7;11.1;Готовая еда;Неизвестно
Гуляш из свинины с картофельным пюре Шеф Перекрёсток, 250г;Пюре картофельное: картофель, молоко (содержит лактозу), сливки, масло сливочное, соль. Гуляш из свинины: свинина, томаты измельченные, лук репчатый, морковь, перец сладкий, масло подсолнечное, паста томатная, масло сливочное, мука пшеничная (содержит глютен), чеснок, бульон говяжий, соль, специи и пряности, сахар.;119;3.6;7.4;9.6;Готовая еда;Неизвестно
Котлеты сочные из индейки Шеф Перекрёсток, 320г;Филе грудки индейки, бедро куриное, лук репчатый, молоко, батон [содержит глютен], масло сливочное, масло подсолнечное, сухари панировочные [содержит глютен], чеснок, молоко сухое, соль, меланж яичный, коллаген говяжий, сыворотка молочная, специи.;193;18.4;10.6;7.2;Готовая еда;Неизвестно
Курица с ананасом  в кисло-сладком соусе и рисом Шеф Перекрёсток, 250г;Бедро куриное, рис круглый, ананас консервированный, перец сладкий, кетчуп (содержит подсластитель аспартам), соус терияки (содержит сою, глютен), масло подсолнечное, соус чили сладкий, меланж яичный, крахмал кукурузный, масло фритюрное, мед цветочный, соль, сок апельсиновый концентрированный, концентрат лимона, перец белый молотый.;189;8;8.6;25.4;Готовая еда;Неизвестно
Биточек куриный с соусом из болгарского перца и картофельным пюре Шеф Перекрёсток, 300г;Пюре картофельное: картофель, молоко, сливки, масло сливочное, соль, биточек куриный с соусом из болгарского перца: филе грудки куриное, перец сладкий, лук репчатый, томаты измельченные, бедро куриное, кожа куриная, батон [содержит глютен], масло подсолнечное, сахар, меланж яичный, чеснок, бульон куриный, сухари панировочные, молоко, специи, соль, коллаген говяжий, сыворотка молочная.;129;6.3;6.1;12.3;Готовая еда;Неизвестно
Ёжики мясные с рисом Шеф Перекрёсток, 280г;Ёжики мясные в соусе: говядина, вода, лук репчатый, свинина, шпик свиной, рис круглый, сметана, мука пшеничная, масло подсолнечное, меланж яичный, морковь, паста томатная, масло сливочное, сахар, бульон говяжий сухой, соль, зелень петрушки, чеснок, перец черный молотый.  Рис отварной: рис круглый, масло подсолнечное, соль;199;5.5;10.9;19.7;Готовая еда;Неизвестно
Котлета из индейки с картофельным пюре Шеф Перекрёсток, 300г;Пюре картофельное: картофель, молоко, сливки, масло сливочное, соль, котлета из индейки: филе грудки индейки, бедро куриное, лук репчатый, молоко, батон [содержит муку пшеничную], масло сливочное, масло подсолнечное, сухари панировочные, чеснок, молоко сухое, соль, меланж яичный, коллаген говяжий, сыворотка молочная, специи.;164;8.8;9;11.9;Готовая еда;Неизвестно
Курица Шеф Перекрёсток терияки на рисе, 250г;Бедро куриное, рис, соус терияки [содержит сою], соус соевый [содержит сою, глютен], уксус рисовый, сахар, имбирь маринованный, лук зеленый, кунжут белый, соль.;191;11.9;8.6;23.7;Готовая еда;Неизвестно
Капуста с сосисками Шеф Перекрёсток тушеная, 250г;Капуста белокочанная, сосиски [содержат яйцо, молоко], морковь, паста томатная, масло подсолнечное, чеснок, сахар, бульон куриный, уксус, соль, лист лавровый.;116;3.9;9.3;8.6;Готовая еда;Неизвестно
Ленивые голубцы в томатно-сметанном соусе Шеф Перекрёсток, 250г;Голубцы ленивые [капуста белокочанная, филе (грудки, бедра) куриное, рис, кожа куриная, мука пшеничная, масло подсолнечное, меланж яичный, бульон куриный, соль, перец белый], соус [лук репчатый, сметана, морковь, паста томатная, масло сливочное, масло подсолнечное, мука пшеничная, сахар, соль, чеснок, петрушка].;166;9.2;9.4;11.2;Готовая еда;Неизвестно
Макароны по-флотски Шеф Перекрёсток, 250г;Изделия макаронные [содержат муку пшеничную], говядина, свинина, лук репчатый, морковь, масло подсолнечное, паста томатная, соль, чеснок, бульон говяжий.;182;9.3;7.2;19.9;Готовая еда;Неизвестно
Мясо по-французски с картофелем Шеф Перекресток, 250г;Картофель запеченный, лук репчатый, помидоры свежие, филе грудки куриное, филе бедра куриного, сыр полутвердый, майонез классический (содержит), мясо свинины, молоко питьевое, батон нарезной (содержит глютен), кожа куриная, масло подсолнечное рафинированное дезодорированное, белок яичный пастеризованный, меланж яичный, соль, сухари панировочные (содержит глютен), перец белый молотый.;255;16.4;10.8;29.3;Готовая еда;Неизвестно
Котлета по-киевски с картофельным пюре Шеф Перекрёсток, 260г;Котлета по-киевски: филе грудки куриное, сухари панировочные, меланж яичный, мука пшеничная, масло сливочное, молоко, масло фритюрное, зелень укропа, чеснок, соль,пюре картофельное: картофель, молоко, сливки, масло сливочное, соль.;231;11.5;11.8;19.6;Готовая еда;Неизвестно
Салат Цезарь с креветками, 190г;Салат Цезарь с креветками: салат айсберг, креветки, помидоры черри, сыр (содержит лактозу), сухарики-гренки (содержит глютен), масло подсолнечное, чеснок, соль, паприка сладкая.Соус Цезарь: майонез, паста из анчоусов, горчица зерновая, соус ворчестер, сыр, сахар, чеснок, концентрат лимона.;193;7.9;16;4.3;Готовая еда;Неизвестно
Боул с лососем, кускусом и медово-горчичным соусом Шеф Перекрёсток, 175г;Боул - кускус отварной, сёмга слабосоленая, салат айсберг, огурец, помидоры черри, семена кунжута,соус медово-горчичный - майонез (содержит яйцо), мёд, соевый соус (содержит глютен), горчица дижонская, горчица зернистая, масло кунжутное.;194.9;5.4;15.7;8;Готовая еда;Неизвестно
Поке с креветками и соусом Альтерно Шеф Перекрёсток, 210г;Поке - салат айсберг, киноа отварное с травами, ананас консервированный, креветки белоногие отварные, бобы эдамамэ, арахис, соль,соус Альтерно - майонез (содержит яицо, горчицу), уксус рисовый, соевый соус (содержит глютен), рыбный соус, масло кунжутное.;172.3;6.8;11.9;9.5;Готовая еда;Неизвестно
Салат Мимоза Шеф Перекрёсток, 200г;Морковь, картофель, горбуша консервированная, майонез [содержит яичный желток и горчичное масло], белок яичный, лук репчатый, желток яичный, масло подсолнечное, соль.;200;7.5;16.1;6.3;Готовая еда;Неизвестно
Салат Сельдь под шубой Шеф Перекрёсток, 250г;Морковь, сельдь филе, майонез [содержит горчичное масло], свекла, картофель, белок яичный, лук репчатый, желток яичный, сахар, соль, уксус столовый, зелень укропа.;198;6.2;15;9.3;Готовая еда;Неизвестно
Салат Оливье Шеф Перекрёсток, 500г;Яйцо куриное маринованное, колбаса вареная [содержит: молоко, глютен], картофель, морковь, майонез [содержит горчицу],  горошек консервированный, огурцы свежие, огурцы маринованные, соль.;185;5.8;15.9;5;Готовая еда;Неизвестно
Салат мясной с ветчиной Шеф Перекрёсток, 200г;Картофель, огурцы маринованные, ветчина [содержит сою], яйцо куриное маринованное, майонез [содержит яйцо, горчицу], огурцы свежие, морковь, соль.;152;5.4;11.9;6;Готовая еда;Неизвестно
Салат Шеф Перекрёсток с индейкой-барбекю, 210г;Салат с индейкой: тыква, филе грудки индейки, салат айсберг, перец сладкий, соус Барбекю [содержит сою, глютен], приправа лук жареный [содержит глютен], семечки тыквенные, масло оливковое, соль, масло подсолнечное, приправа для курицы, сахар, тимьян сушеный, орех мускатный.Соус для салата: майонез [содержит яйцо, горчицу], масло подсолнечное, мед, лук красный, перец сладкий, соус соевый темный [содержит сою, пшеницу], масло кунжутное, чеснок, пюре лайма, уксус столовый, тимьян сушеный, чили пеперончини.;178;6.8;12.5;9.7;Готовая еда;Неизвестно
Салат Столичный Шеф Перекрёсток, 200г;Филе грудки куриное, яйцо куриное маринованное, картофель, морковь, огурцы свежие, майонез [содержит яичный желток, горчичное масло], горошек зеленый, соль, зелень петрушки, лук зеленый.;164;8.7;11.9;5.5;Готовая еда;Неизвестно
Салат Фаворит Шеф Перекрёсток, 200г;Огурцы маринованные [содержит семена горчицы], язык говяжий, майонез  [содержит яичный желток и горчичное масло], ветчина [содержит соевый белок, ароматизатор], лук репчатый, шампиньоны консервированные ,филе грудки куриное, масло подсолнечное, зелень петрушки, соль, чеснок.;193;8.2;16.5;2.9;Готовая еда;Неизвестно
Салат Цезарь Шеф Перекрёсток, 220г;Салат Цезарь: филе грудки куриное,салат айсберг,помидоры черри,сухарики-гренки из пшеничной муки,сыр,соль.Соус Цезарь: майонез [содержит яичный желток,горчичное масло],паста из анчоусов,горчица зерновая [содержит семена горчицы],соус ворчестер,сыр,сахар,чеснок,концентрат лимона.;167;9.2;13.3;3.5;Готовая еда;Неизвестно
Салат Оливье Шеф Перекрёсток, 200г;Яйцо куриное маринованное, колбаса вареная [содержит: молочный белок, пшеничные волокна], картофель, морковь, майонез [содержит горчичное масло],  горошек консервированный, огурцы свежие, огурцы маринованные, соль.;185;5.8;15.9;5;Готовая еда;Неизвестно
Салат Коул Слоу с красной капустой и яблоками Шеф Перекрёсток, 150г;Капуста белокочанная, морковь, майонез (содержит яйцо), капуста краснокочанная, яблоки, горчица зерненая, сахар, соль, уксус яблочный, сок лимона прямого отжима, уксус столовый, перец черный молотый.;130;1.4;10.3;8.6;Готовая еда;Неизвестно
Салат Табуле с кускусом Шеф Перекрёсток, 150г;Кускус отварной, томаты, огурцы, масло оливковое, зелень петрушки и кинзы, мята, сок лимона прямого отжима, эстрагон, соль.;169;4.5;5;26.4;Готовая еда;Неизвестно
Салат Оливье постный с опятами и тофу Шеф Перекрёсток, 200г;Картофель, морковь, соус майонезный (содержит горчицу), опята консервированные, тофу (содержит сою), огурцы маринованные, горошек консервированный, лук репчатый, сок лимона концентрированный, масло подсолнечное, горчица, соль, перец черный молотый, чеснок.;129;2.5;9.5;8;Готовая еда;Неизвестно
Салат Домашний Шеф Перекрёсток, 200г;Картофель,морковь,горошек консервированный,майонез [содержит яйцо, горчицу],огурцы маринованные,лук красный репчатый,зелень укропа,соль.;131;1.9;9.4;9.7;Готовая еда;Неизвестно
Салат Пикантный с сыром Шеф Перекрёсток, 200 г;Морковь, майонез [содержит яйцо], сыр, сметана, масло подсолнечное, сахар, чеснок, соль, специи, усилитель вкуса и аромата, регулятор кислотности.;237;5.3;20.5;7.9;Готовая еда;Неизвестно
Салат Коул Слоу Шеф Перекрёсток, 200г;Капуста белокочанная, майонез (содержит яйцо), морковь, сахар, сок апельсиновый концентрированный, уксус столовый 9%, горчица дижонская, соль, чеснок, перец белый молотый.;207;1.5;17.8;10.1;Готовая еда;Неизвестно
Салат из свеклы с чесноком Шеф Перекресток, 200г;Свекла, майонез [содержит яйцо, горчицу], орех грецкий, сахар, чеснок, соль.;181;2;11;18.5;Готовая еда;Неизвестно
Салат из капусты с огурцом Шеф Перекрёсток, 150г;Капуста белокочанная, огурец, масло подсолнечное, сахар, укроп, соль, уксус, сок лимона прямого отжима.;91;1.5;7;5.5;Готовая еда;Неизвестно
Винегрет овощной Шеф Перекрёсток, 180г;Свёкла, картофель, морковь, огурцы маринованные, горошек консервированный, масло подсолнечное нерафинированное, соль, сахар, уксус, перец черный.;108;1.7;5.6;12.8;Готовая еда;Неизвестно
Коктейль молочный Растишка для детей клубника 2%, 210г;Нормализованное молоко, сахар, стабилизатор – каррагинан, ароматизатор натуральный, краситель – кармины.;70;3.3;2;10;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Растишка для детей ванильное мороженое 2%, 210г;Нормализованное молоко, сахар, стабилизатор – каррагинан, ароматизатор натуральный, краситель – каротины.;70;3.3;2;9.9;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Растишка для детей шоколадный банан ультрапастеризованный 2%, 210г;Нормализованное молоко, сахар, какао-порошок, натуральный ароматизатор, стабилизатор — каррагинан.;75;3.3;2;10.9;Молоко, сыр, яйца;Неизвестно
Напиток сывороточный Актуаль с соками апельсина и манго 0.1%, 310мл;Восстановленная молочная сыворотка, наполнитель (соки апельсина и манго концентрированного, вода, краситель – каротины, ароматизатор, стабилизатор – пектины, регуляторы кислотности – аскорбиновая и яблочная кислоты), сахар, стабилизатор – пектины, регуляторы кислотности – лимонная кислота, витаминно-минеральный премикс (витамины – B1, B6, B3, E, D, микроэлементы – цинк, медь), консервант – сорбат калия, ароматизатор.;36;0.5;0.1;8.3;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Растишка для детей бабл-гам ультрапастеризованный 2%, 210г;Нормализованное молоко, сахар, стабилизатор — каррагинан, ароматизатор натуральный, краситель — кармины.;70;3.3;2;9.9;Молоко, сыр, яйца;Неизвестно
Напиток соевый Alpro банановый, 1л;Вода, сахар, сухая соевая основа, регуляторы кислотности (орто-Фосфат калия 2-замещенный, орто-Фосфат калия 1-замещенный), концентрированный банановый сок, трикальций фосфат (источник кальция), стабилизаторы (гуаровая камедь, геллановая камедь), соль, ароматизатор.;47;1.4;0.9;8.4;Молоко, сыр, яйца;Неизвестно
Напиток соевый Alpro со вкусом ванильного пломбира, 1л;Вода, сахар, сухая соевая основа, регуляторы кислотности (орто-Фосфат калия 2-замещенный, орто-Фосфат калия 1-замещенный, трикальций фосфат (источник кальция), стабилизаторы (гуаровая камедь, геллановая камедь), ароматизатор, соль.;40;1.2;0.7;7.3;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Чудо Шоколад 3%, 200мл;А - молоко нормализованное, сахар, стабилизаторы (ацетилированный дикрахмаладипат, каррагинан), какао-порошок, шоколад темный в порошке, В - молоко нормализованное, молоко восстановленное, сахар, стабилизаторы (ацетилированный дикрахмаладипат, каррагинан), какао-порошок, шоколад темный в порошке.;94;2.8;3;14;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Авишка шоколадный 2.5%, 200мл;-;70;2.8;2.5;9.7;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Чудо Шоколад 2%, 950мл;Молоко нормализованное, сахар, стабилизаторы – каррагинан, гуаровая камедь, эмульгатор – моно- и диглицериды жирных кислот, ароматизатор натуральный – «Мороженое ванильный пломбир».;77;2.8;2;11.9;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Grand Cocktail солёная карамель 4%, 260мл;Обезжиренное молоко, сливки, сахар, сухое обезжиренное молоко, сухой глюкозный сироп, сухая молочная сыворотка, загуститель – гуаровая камедь, эмульгатор – моно- и диглицериды жирных кислот, декстроза, стабилизатор – каррагинан, ароматизаторы, соль, красители – сахарный колер III, каротины.;110;3.8;4;15.1;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Чудо Шоколад 2%, 960мл;А - молоко цельное или B - сливки (см. букву в маркировке), глазурь жировая «Карамель» (масло кокосовое рафинированное дезодорированное, пудра сахарная, рапсовое масло, молоко сухое обезжиренное, сыворотка молочная сухая, какао-порошок, эмульгатор E322, ароматизатор “Тоффи”, комплексная пищевая добавка (масло растительное, краситель Е160b, эмульгатор Е322), комплексная пищевая добавка (эмульгатор Е433, краситель Е100)), масло сливочное, молоко цельное сгущенное с сахаром (цельное молоко, молоко обезжиренное, сахара (сахароза, лактоза)), вода питьевая, сахар, молоко сухое цельное, молоко сгущенное с сахаром вареное (цельное молоко, обезжиренное молоко, сахар (сахароза), с использованием фермента «Галактаза»), молоко сухое обезжиренное, эмульгатор (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан), ароматизатор пищевой «Ванилин».;77;2.8;2;11.9;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Parmalat Чоколатта итальяна 1.9%, 1л;Нормализованное молоко, сахар-песок, какао-порошок, шоколадный порошок, стабилизатор каррагинан.;80;3;1.9;12.8;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Parmalat Чоколатта итальяна 1.9%, 500мл;Нормализованное молоко, сахар-песок, какао-порошок, шоколадный порошок, стабилизатор каррагинан.;80;3;1.9;12.8;Молоко, сыр, яйца;Неизвестно
Коктейль Ecomilk молочный Соло шоколадный пастеризованный 2%, 930мл;Нормализованное молоко, сахар, банановое пюре, ароматизатор, стабилизатор – каррагинан, краситель – куркумин.;75;3.2;2;11.7;Молоко, сыр, яйца;Неизвестно
Коктейль молочно-шоколадный Вологжанка пастеризованный 2.7%, 470мл;-;107;3.3;4.5;13.7;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Топтыжка Edge шоколад ультрапастеризованный 3.2%, 200мл;-;84;3;3.2;10.8;Молоко, сыр, яйца;Неизвестно
Коктейль Топтыжка молочный со вкусом шоколадного мороженого 2%, 950мл;Молоко цельное, молоко обезжиренное, сахар, какао-порошок, молоко сухое обезжиренное, стабилизатор каррагинан, молочный шоколад (сахар, масло какао, сухое цельное молоко, тертое какао, молочный жир, эмульгатор лецитин соевый, ароматизатор «Ванилин»), ароматизатор «Сливочный пломбир».;71;2.8;2;10.3;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Топтыжка Edge карамельная ириска ультрапастеризованный 3.2%, 200мл;-;78;2.8;3.2;9.5;Молоко, сыр, яйца;Неизвестно
Коктейль молочно-шоколадный Большая Кружка с мороженым ультрапастеризованный 3%, 980мл;Цельное молоко, обезжиренное молоко, сахар, какао - порошок, сухое обезжиренное молоко, мороженое сливочное шоколадное (цельное молоко, масло сливочное, молоко цельное сгущенное с сахаром (молоко нормализованное, сахар), вода, какао -порошок, молоко цельное сухое, комплексная пищевая добавка (эмульгатор - моно- и диглицериды жирных кислот, стабилизаторы: гуаровая камедь, камедь рожкового дерева, карбоксиметилцеллюлоза), наполнитель Шоколад (сахар, шоколад (масса какао,сахар, масло какао, концентрированный лимонный сок, загуститель, пектины)), стабилизаторы: гуаровая камедь, каррагинан, регулятор кислотности – Е339iii.;79;3.1;3;10;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Ставропольский Моко-шоко с шоколадом 2.5%, 500мл;Молоко цельное, молоко обезжиренное, сахар, какао-порошок, стабилизатор - каррагинан.;94;3.1;2.7;14.3;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Вятская Дымка с какао 2.5%, 450мл;-;70;3.1;1.5;10.9;Молоко, сыр, яйца;Неизвестно
Коктейль Пестравка молочный ультрапастеризованный с шоколадом 2%, 1л;-;74;3;2;10.8;Молоко, сыр, яйца;Неизвестно
Коктейль молочный Вятушка с какао 1.5%, 500мл;-;45;3.1;1.5;4.8;Молоко, сыр, яйца;Неизвестно
